method,update,drift
"C double, no reorth",13650,5.329299e-14
"C double, no reorth",13700,5.442089e-14
"C double, no reorth",13750,5.112351e-14
"C double, no reorth",13800,4.649349e-14
"C double, no reorth",13850,4.910060e-14
"C double, no reorth",13900,5.223095e-14
"C double, no reorth",13950,5.167150e-14
"C double, no reorth",14000,5.290982e-14
"C double, no reorth",14050,5.392862e-14
"C double, no reorth",14100,5.371444e-14
"C double, no reorth",14150,4.686842e-14
"C double, no reorth",14200,5.016743e-14
"C double, no reorth",14250,5.281207e-14
"C double, no reorth",14300,4.989406e-14
"C double, no reorth",14350,5.515783e-14
"C double, no reorth",14400,5.161168e-14
"C double, no reorth",14450,5.182482e-14
"C double, no reorth",14500,4.715099e-14
"C double, no reorth",14550,4.822091e-14
"C double, no reorth",14600,4.690169e-14
"C double, no reorth",14650,4.588831e-14
"C double, no reorth",14700,4.553859e-14
"C double, no reorth",14750,4.176529e-14
"C double, no reorth",14800,4.071555e-14
"C double, no reorth",14850,3.870087e-14
"C double, no reorth",14900,3.777095e-14
"C double, no reorth",14950,3.532557e-14
"C double, no reorth",15000,3.570851e-14
"C double, no reorth",15050,3.149799e-14
"C double, no reorth",15100,3.491952e-14
"C double, no reorth",15150,4.099913e-14
"C double, no reorth",15200,4.386916e-14
"C double, no reorth",15250,4.205696e-14
"C double, no reorth",15300,4.346327e-14
"C double, no reorth",15350,4.559350e-14
"C double, no reorth",15400,5.119839e-14
"C double, no reorth",15450,4.749733e-14
"C double, no reorth",15500,5.093972e-14
"C double, no reorth",15550,5.256476e-14
"C double, no reorth",15600,5.137998e-14
"C double, no reorth",15650,5.120051e-14
"C double, no reorth",15700,5.212926e-14
"C double, no reorth",15750,5.058686e-14
"C double, no reorth",15800,4.796589e-14
"C double, no reorth",15850,5.166404e-14
"C double, no reorth",15900,4.606500e-14
"C double, no reorth",15950,4.904458e-14
"C double, no reorth",16000,5.018302e-14
"C double, no reorth",16050,4.831598e-14
"C double, no reorth",16100,4.498061e-14
"C double, no reorth",16150,4.779042e-14
"C double, no reorth",16200,4.613209e-14
"C double, no reorth",16250,4.505446e-14
"C double, no reorth",16300,4.631000e-14
"C double, no reorth",16350,4.245432e-14
"C double, no reorth",16400,4.177593e-14
"C double, no reorth",16450,3.945691e-14
"C double, no reorth",16500,4.317039e-14
"C double, no reorth",16550,4.122424e-14
"C double, no reorth",16600,4.669598e-14
"C double, no reorth",16650,5.029066e-14
"C double, no reorth",16700,5.661997e-14
"C double, no reorth",16750,5.734047e-14
"C double, no reorth",16800,5.951682e-14
"C double, no reorth",16850,6.156616e-14
"C double, no reorth",16900,6.056728e-14
"C double, no reorth",16950,5.583036e-14
"C double, no reorth",17000,6.086018e-14
"C double, no reorth",17050,5.900592e-14
"C double, no reorth",17100,6.424854e-14
"C double, no reorth",17150,6.504491e-14
"C double, no reorth",17200,6.161134e-14
"C double, no reorth",17250,6.587787e-14
"C double, no reorth",17300,6.402485e-14
"C double, no reorth",17350,6.769234e-14
"C double, no reorth",17400,6.510479e-14
"C double, no reorth",17450,6.438404e-14
"C double, no reorth",17500,6.447925e-14
"C double, no reorth",17550,6.095217e-14
"C double, no reorth",17600,5.821945e-14
"C double, no reorth",17650,5.968840e-14
"C double, no reorth",17700,6.086596e-14
"C double, no reorth",17750,5.510949e-14
"C double, no reorth",17800,5.301389e-14
"C double, no reorth",17850,4.836462e-14
"C double, no reorth",17900,4.472955e-14
"C double, no reorth",17950,4.273351e-14
"C double, no reorth",18000,4.604413e-14
"C double, no reorth",18050,4.291221e-14
"C double, no reorth",18100,4.836113e-14
"C double, no reorth",18150,4.805996e-14
"C double, no reorth",18200,5.354172e-14
"C double, no reorth",18250,5.453799e-14
"C double, no reorth",18300,5.277510e-14
"C double, no reorth",18350,5.331790e-14
"C double, no reorth",18400,5.003446e-14
"C double, no reorth",18450,4.460529e-14
"C double, no reorth",18500,5.306432e-14
"C double, no reorth",18550,4.879172e-14
"C double, no reorth",18600,5.144867e-14
"C double, no reorth",18650,5.164111e-14
"C double, no reorth",18700,5.228954e-14
"C double, no reorth",18750,6.056441e-14
"C double, no reorth",18800,6.557425e-14
"C double, no reorth",18850,7.264112e-14
"C double, no reorth",18900,7.329096e-14
"C double, no reorth",18950,7.781150e-14
"C double, no reorth",19000,8.018998e-14
"C double, no reorth",19050,7.816093e-14
"C double, no reorth",19100,8.484474e-14
"C double, no reorth",19150,8.784108e-14
"C double, no reorth",19200,9.305133e-14
"C double, no reorth",19250,8.597551e-14
"C double, no reorth",19300,8.319162e-14
"C double, no reorth",19350,8.127487e-14
"C double, no reorth",19400,7.468268e-14
"C double, no reorth",19450,7.330305e-14
"C double, no reorth",19500,6.827839e-14
"C double, no reorth",19550,6.636157e-14
"C double, no reorth",19600,7.046677e-14
"C double, no reorth",19650,6.890469e-14
"C double, no reorth",19700,7.030071e-14
"C double, no reorth",19750,7.432396e-14
"C double, no reorth",19800,7.041895e-14
"C double, no reorth",19850,7.242128e-14
"C double, no reorth",19900,6.939482e-14
"C double, no reorth",19950,6.544375e-14
"C double, no reorth",20000,7.213325e-14
"C double, no reorth",20050,6.910434e-14
"C double, no reorth",20100,6.753550e-14
"C double, no reorth",20150,6.941782e-14
"C double, no reorth",20200,7.597893e-14
"C double, no reorth",20250,8.207149e-14
"C double, no reorth",20300,8.363565e-14
"C double, no reorth",20350,8.987928e-14
"C double, no reorth",20400,9.387584e-14
"C double, no reorth",20450,9.803859e-14
"C double, no reorth",20500,9.930418e-14
"C double, no reorth",20550,9.321516e-14
"C double, no reorth",20600,9.970245e-14
"C double, no reorth",20650,1.017466e-13
"C double, no reorth",20700,1.014265e-13
"C double, no reorth",20750,9.573054e-14
"C double, no reorth",20800,9.801988e-14
"C double, no reorth",20850,9.820194e-14
"C double, no reorth",20900,9.281923e-14
"C double, no reorth",20950,9.163989e-14
"C double, no reorth",21000,8.987472e-14
"C double, no reorth",21050,9.078184e-14
"C double, no reorth",21100,9.546896e-14
"C double, no reorth",21150,9.205344e-14
"C double, no reorth",21200,1.024975e-13
"C double, no reorth",21250,1.064672e-13
"C double, no reorth",21300,9.877006e-14
"C double, no reorth",21350,9.510441e-14
"C double, no reorth",21400,9.096839e-14
"C double, no reorth",21450,8.988538e-14
"C double, no reorth",21500,9.407864e-14
"C double, no reorth",21550,9.469637e-14
"C double, no reorth",21600,9.549465e-14
"C double, no reorth",21650,1.000797e-13
"C double, no reorth",21700,1.108900e-13
"C double, no reorth",21750,1.124593e-13
"C double, no reorth",21800,1.172689e-13
"C double, no reorth",21850,1.267356e-13
"C double, no reorth",21900,1.290343e-13
"C double, no reorth",21950,1.362913e-13
"C double, no reorth",22000,1.402350e-13
"C double, no reorth",22050,1.374441e-13
"C double, no reorth",22100,1.443875e-13
"C double, no reorth",22150,1.436901e-13
"C double, no reorth",22200,1.416638e-13
"C double, no reorth",22250,1.369495e-13
"C double, no reorth",22300,1.295307e-13
"C double, no reorth",22350,1.256655e-13
"C double, no reorth",22400,1.189004e-13
"C double, no reorth",22450,1.189739e-13
"C float32, reorth",0,4.213440e-07
"C float32, reorth",50,4.213440e-07
"C float32, reorth",100,4.213440e-07
"C float32, reorth",150,4.213440e-07
"C float32, reorth",200,4.213440e-07
"C float32, reorth",250,4.213440e-07
"C float32, reorth",300,4.213440e-07
"C float32, reorth",350,2.243927e-06
"C float32, reorth",400,3.260813e-06
"C float32, reorth",450,1.883316e-06
"C float32, reorth",500,6.423154e-06
"C float32, reorth",550,4.866738e-06
"C float32, reorth",600,3.673727e-06
"C float32, reorth",650,4.251840e-06
"C float32, reorth",700,4.881698e-06
"C float32, reorth",750,4.562874e-06
"C float32, reorth",800,4.193435e-06
"C float32, reorth",850,4.749867e-06
"C float32, reorth",900,3.790752e-06
"C float32, reorth",950,6.336447e-06
"C float32, reorth",1000,7.286628e-06
"C float32, reorth",1050,7.417584e-06
"C float32, reorth",1100,6.583043e-06
"C float32, reorth",1150,7.246503e-06
"C float32, reorth",1200,4.292079e-06
"C float32, reorth",1250,7.049766e-06
"C float32, reorth",1300,7.150835e-06
"C float32, reorth",1350,8.057731e-06
"C float32, reorth",1400,7.923697e-06
"C float32, reorth",1450,7.947634e-06
"C float32, reorth",1500,7.634299e-06
"C float32, reorth",1550,7.700291e-06
"C float32, reorth",1600,7.690355e-06
"C float32, reorth",1650,8.681357e-06
"C float32, reorth",1700,8.528166e-06
"C float32, reorth",1750,9.213227e-06
"C float32, reorth",1800,9.047613e-06
"C float32, reorth",1850,1.086947e-05
"C float32, reorth",1900,1.091039e-05
"C float32, reorth",1950,1.080243e-05
"C float32, reorth",2000,1.191168e-05
"C float32, reorth",2050,1.624029e-06
"C float32, reorth",2100,4.325349e-06
"C float32, reorth",2150,4.309569e-06
"C float32, reorth",2200,4.554790e-06
"C float32, reorth",2250,6.781328e-06
"C float32, reorth",2300,9.157526e-06
"C float32, reorth",2350,9.227990e-06
"C float32, reorth",2400,9.736454e-06
"C float32, reorth",2450,1.083678e-05
"C float32, reorth",2500,1.653485e-06
"C float32, reorth",2550,2.354320e-06
"C float32, reorth",2600,4.449669e-06
"C float32, reorth",2650,5.954937e-06
"C float32, reorth",2700,7.251806e-06
"C float32, reorth",2750,7.830408e-06
"C float32, reorth",2800,8.199368e-06
"C float32, reorth",2850,8.743339e-06
"C float32, reorth",2900,8.617453e-06
"C float32, reorth",2950,9.700872e-06
"C float32, reorth",3000,1.264750e-05
"C float32, reorth",3050,2.571443e-06
"C float32, reorth",3100,4.343549e-06
"C float32, reorth",3150,5.032191e-06
"C float32, reorth",3200,5.596943e-06
"C float32, reorth",3250,4.793583e-06
"C float32, reorth",3300,6.143448e-06
"C float32, reorth",3350,6.463326e-06
"C float32, reorth",3400,6.744951e-06
"C float32, reorth",3450,7.720042e-06
"C float32, reorth",3500,9.531120e-06
"C float32, reorth",3550,9.180260e-06
"C float32, reorth",3600,9.024616e-06
"C float32, reorth",3650,9.128797e-06
"C float32, reorth",3700,9.665963e-06
"C float32, reorth",3750,9.918006e-06
"C float32, reorth",3800,1.018025e-05
"C float32, reorth",3850,1.119845e-05
"C float32, reorth",3900,1.133875e-05
"C float32, reorth",3950,1.133267e-05
"C float32, reorth",4000,2.444810e-06
"C float32, reorth",4050,3.446199e-06
"C float32, reorth",4100,4.754196e-06
"C float32, reorth",4150,5.662149e-06
"C float32, reorth",4200,6.852677e-06
"C float32, reorth",4250,7.856141e-06
"C float32, reorth",4300,9.640223e-06
"C float32, reorth",4350,1.048423e-05
"C float32, reorth",4400,1.096450e-05
"C float32, reorth",4450,1.184912e-05
"C float32, reorth",4500,2.877857e-06
"C float32, reorth",4550,3.551649e-06
"C float32, reorth",4600,6.150854e-06
"C float32, reorth",4650,7.299228e-06
"C float32, reorth",4700,8.718939e-06
"C float32, reorth",4750,8.765339e-06
"C float32, reorth",4800,1.227483e-05
"C float32, reorth",4850,4.835439e-06
"C float32, reorth",4900,6.720667e-06
"C float32, reorth",4950,8.839754e-06
"C float32, reorth",5000,1.024791e-05
"C float32, reorth",5050,1.080532e-05
"C float32, reorth",5100,2.417510e-06
"C float32, reorth",5150,3.705822e-06
"C float32, reorth",5200,5.858423e-06
"C float32, reorth",5250,6.850011e-06
"C float32, reorth",5300,1.122588e-05
"C float32, reorth",5350,1.217946e-05
"C float32, reorth",5400,3.921573e-06
"C float32, reorth",5450,4.766348e-06
"C float32, reorth",5500,7.863758e-06
"C float32, reorth",5550,9.450309e-06
"C float32, reorth",5600,1.064892e-05
"C float32, reorth",5650,1.299674e-05
"C float32, reorth",5700,4.933721e-06
"C float32, reorth",5750,5.816662e-06
"C float32, reorth",5800,9.100851e-06
"C float32, reorth",5850,1.084365e-05
"C float32, reorth",5900,1.132200e-05
"C float32, reorth",5950,2.782893e-06
"C float32, reorth",6000,6.129956e-06
"C float32, reorth",6050,7.726646e-06
"C float32, reorth",6100,9.821614e-06
"C float32, reorth",6150,1.001591e-05
"C float32, reorth",6200,3.880017e-06
"C float32, reorth",6250,5.429649e-06
"C float32, reorth",6300,7.939351e-06
"C float32, reorth",6350,1.130613e-05
"C float32, reorth",6400,2.117830e-06
"C float32, reorth",6450,5.823088e-06
"C float32, reorth",6500,8.310053e-06
"C float32, reorth",6550,8.705742e-06
"C float32, reorth",6600,1.074142e-05
"C float32, reorth",6650,1.342760e-05
"C float32, reorth",6700,3.727096e-06
"C float32, reorth",6750,6.333602e-06
"C float32, reorth",6800,9.196220e-06
"C float32, reorth",6850,1.089416e-05
"C float32, reorth",6900,1.668055e-06
"C float32, reorth",6950,2.999556e-06
"C float32, reorth",7000,6.897075e-06
"C float32, reorth",7050,9.086615e-06
"C float32, reorth",7100,1.026534e-05
"C float32, reorth",7150,2.189138e-06
"C float32, reorth",7200,6.396693e-06
"C float32, reorth",7250,8.848268e-06
"C float32, reorth",7300,1.148524e-05
"C float32, reorth",7350,3.665110e-06
"C float32, reorth",7400,4.512225e-06
"C float32, reorth",7450,6.079964e-06
"C float32, reorth",7500,7.817516e-06
"C float32, reorth",7550,9.674724e-06
"C float32, reorth",7600,1.287784e-05
"C float32, reorth",7650,2.970161e-06
"C float32, reorth",7700,5.265673e-06
"C float32, reorth",7750,7.191004e-06
"C float32, reorth",7800,1.053088e-05
"C float32, reorth",7850,1.146767e-05
"C float32, reorth",7900,3.725468e-06
"C float32, reorth",7950,6.519488e-06
"C float32, reorth",8000,8.077217e-06
"C float32, reorth",8050,8.329264e-06
"C float32, reorth",8100,9.720745e-06
"C float32, reorth",8150,1.241914e-05
"C float32, reorth",8200,4.875977e-06
"C float32, reorth",8250,6.189829e-06
"C float32, reorth",8300,8.437676e-06
"C float32, reorth",8350,9.516401e-06
"C float32, reorth",8400,2.811493e-06
"C float32, reorth",8450,5.699912e-06
"C float32, reorth",8500,7.474206e-06
"C float32, reorth",8550,9.475908e-06
"C float32, reorth",8600,1.041939e-05
"C float32, reorth",8650,3.788364e-06
"C float32, reorth",8700,6.249084e-06
"C float32, reorth",8750,1.017328e-05
"C float32, reorth",8800,1.174655e-05
"C float32, reorth",8850,2.975340e-06
"C float32, reorth",8900,4.481189e-06
"C float32, reorth",8950,5.727125e-06
"C float32, reorth",9000,8.043564e-06
"C float32, reorth",9050,1.027892e-05
"C float32, reorth",9100,1.280566e-05
"C float32, reorth",9150,4.018763e-06
"C float32, reorth",9200,5.759334e-06
"C float32, reorth",9250,7.553393e-06
"C float32, reorth",9300,1.031531e-05
"C float32, reorth",9350,1.113936e-05
"C float32, reorth",9400,1.349902e-05
"C float32, reorth",9450,2.882955e-06
"C float32, reorth",9500,5.783020e-06
"C float32, reorth",9550,7.602054e-06
"C float32, reorth",9600,9.569059e-06
"C float32, reorth",9650,1.111527e-05
"C float32, reorth",9700,4.047997e-06
"C float32, reorth",9750,5.435794e-06
"C float32, reorth",9800,9.958521e-06
"C float32, reorth",9850,1.129128e-05
"C float32, reorth",9900,3.247660e-06
"C float32, reorth",9950,4.418207e-06
"C float32, reorth",10000,7.424534e-06
"C float32, reorth",10050,9.361501e-06
"C float32, reorth",10100,1.131059e-05
"C float32, reorth",10150,2.382853e-06
"C float32, reorth",10200,5.655385e-06
"C float32, reorth",10250,9.140525e-06
"C float32, reorth",10300,9.074171e-06
"C float32, reorth",10350,1.096649e-05
"C float32, reorth",10400,3.118563e-06
"C float32, reorth",10450,3.359331e-06
"C float32, reorth",10500,6.656361e-06
"C float32, reorth",10550,8.579058e-06
"C float32, reorth",10600,1.396460e-05
"C float32, reorth",10650,3.090987e-06
"C float32, reorth",10700,6.529574e-06
"C float32, reorth",10750,8.417899e-06
"C float32, reorth",10800,1.108959e-05
"C float32, reorth",10850,1.233204e-05
"C float32, reorth",10900,6.373496e-06
"C float32, reorth",10950,8.268057e-06
"C float32, reorth",11000,9.003889e-06
"C float32, reorth",11050,1.162445e-05
"C float32, reorth",11100,2.611246e-06
"C float32, reorth",11150,5.506782e-06
"C float32, reorth",11200,1.033052e-05
"C float32, reorth",11250,1.076224e-05
"C float32, reorth",11300,2.755475e-06
"C float32, reorth",11350,4.140228e-06
"C float32, reorth",11400,7.551600e-06
"C float32, reorth",11450,6.804868e-06
"C float32, reorth",11500,1.070855e-05
"C float32, reorth",11550,1.029380e-05
"C float32, reorth",11600,3.341082e-06
"C float32, reorth",11650,6.677979e-06
"C float32, reorth",11700,7.508177e-06
"C float32, reorth",11750,1.045478e-05
"C float32, reorth",11800,1.286637e-05
"C float32, reorth",11850,4.619954e-06
"C float32, reorth",11900,4.155828e-06
"C float32, reorth",11950,4.049838e-06
"C float32, reorth",12000,7.148922e-06
"C float32, reorth",12050,7.609565e-06
"C float32, reorth",12100,1.187212e-05
"C float32, reorth",12150,5.086883e-06
"C float32, reorth",12200,7.872277e-06
"C float32, reorth",12250,8.625037e-06
"C float32, reorth",12300,1.042057e-05
"C float32, reorth",12350,1.143340e-05
"C float32, reorth",12400,3.886474e-06
"C float32, reorth",12450,6.177238e-06
"C float32, reorth",12500,9.047388e-06
"C float32, reorth",12550,1.011074e-05
"C float32, reorth",12600,2.706111e-06
"C float32, reorth",12650,7.136831e-06
"C float32, reorth",12700,1.195002e-05
"C float32, reorth",12750,3.770390e-06
"C float32, reorth",12800,6.361133e-06
"C float32, reorth",12850,8.938947e-06
"C float32, reorth",12900,1.209494e-05
"C float32, reorth",12950,7.427657e-06
"C float32, reorth",13000,1.025393e-05
"C float32, reorth",13050,8.839692e-06
"C float32, reorth",13100,1.148639e-05
"C float32, reorth",13150,4.010206e-06
"C float32, reorth",13200,6.422212e-06
"C float32, reorth",13250,9.307646e-06
"C float32, reorth",13300,1.219871e-05
"C float32, reorth",13350,5.359889e-06
"C float32, reorth",13400,5.086190e-06
"C float32, reorth",13450,5.388028e-06
"C float32, reorth",13500,1.036251e-05
"C float32, reorth",13550,1.009024e-05
"C float32, reorth",13600,1.248415e-05
"C float32, reorth",13650,3.943209e-06
"C float32, reorth",13700,5.766076e-06
"C float32, reorth",13750,7.683074e-06
"C float32, reorth",13800,7.882670e-06
"C float32, reorth",13850,1.098459e-05
"C float32, reorth",13900,5.450318e-06
"C float32, reorth",13950,7.562373e-06
"C float32, reorth",14000,1.048626e-05
"C float32, reorth",14050,1.163618e-05
"C float32, reorth",14100,3.372851e-06
"C float32, reorth",14150,6.414111e-06
"C float32, reorth",14200,9.769115e-06
"C float32, reorth",14250,1.140673e-05
"C float32, reorth",14300,1.064023e-05
"C float32, reorth",14350,1.443651e-06
"C float32, reorth",14400,7.723528e-06
"C float32, reorth",14450,5.764552e-06
"C float32, reorth",14500,1.034661e-05
"C float32, reorth",14550,1.042705e-05
"C float32, reorth",14600,4.274468e-06
"C float32, reorth",14650,8.184961e-06
"C float32, reorth",14700,8.837625e-06
"C float32, reorth",14750,1.328892e-05
"C float32, reorth",14800,5.958950e-06
"C float32, reorth",14850,8.103134e-06
"C float32, reorth",14900,8.399064e-06
"C float32, reorth",14950,8.657544e-06
"C float32, reorth",15000,1.340760e-05
"C float32, reorth",15050,3.921850e-06
"C float32, reorth",15100,7.113218e-06
"C float32, reorth",15150,8.042927e-06
"C float32, reorth",15200,1.172495e-05
"C float32, reorth",15250,3.071974e-06
"C float32, reorth",15300,4.438384e-06
"C float32, reorth",15350,6.522991e-06
"C float32, reorth",15400,9.818566e-06
"C float32, reorth",15450,2.993761e-06
"C float32, reorth",15500,8.927830e-06
"C float32, reorth",15550,8.897451e-06
"C float32, reorth",15600,1.120898e-05
"C float32, reorth",15650,1.078370e-05
"C float32, reorth",15700,4.467320e-06
"C float32, reorth",15750,5.237475e-06
"C float32, reorth",15800,7.107078e-06
"C float32, reorth",15850,7.642542e-06
"C float32, reorth",15900,1.122254e-05
"C float32, reorth",15950,1.095701e-05
"C float32, reorth",16000,3.991741e-06
"C float32, reorth",16050,5.710716e-06
"C float32, reorth",16100,8.813690e-06
"C float32, reorth",16150,1.301179e-05
"C float32, reorth",16200,5.117660e-06
"C float32, reorth",16250,7.609491e-06
"C float32, reorth",16300,1.132156e-05
"C float32, reorth",16350,1.268901e-05
"C float32, reorth",16400,5.282662e-06
"C float32, reorth",16450,6.374432e-06
"C float32, reorth",16500,1.091579e-05
"C float32, reorth",16550,1.276708e-05
"C float32, reorth",16600,6.210805e-06
"C float32, reorth",16650,9.264111e-06
"C float32, reorth",16700,1.036661e-05
"C float32, reorth",16750,9.889438e-06
"C float32, reorth",16800,1.173923e-05
"C float32, reorth",16850,2.798877e-06
"C float32, reorth",16900,6.650859e-06
"C float32, reorth",16950,9.613838e-06
"C float32, reorth",17000,1.361100e-05
"C float32, reorth",17050,4.679747e-06
"C float32, reorth",17100,6.676411e-06
"C float32, reorth",17150,9.283413e-06
"C float32, reorth",17200,1.226641e-05
"C float32, reorth",17250,3.293141e-06
"C float32, reorth",17300,6.956867e-06
"C float32, reorth",17350,8.848114e-06
"C float32, reorth",17400,1.245183e-05
"C float32, reorth",17450,4.185063e-06
"C float32, reorth",17500,5.242045e-06
"C float32, reorth",17550,6.722288e-06
"C float32, reorth",17600,1.093524e-05
"C float32, reorth",17650,3.182692e-06
"C float32, reorth",17700,5.751756e-06
"C float32, reorth",17750,7.838657e-06
"C float32, reorth",17800,4.876434e-06
"C float32, reorth",17850,7.313691e-06
"C float32, reorth",17900,8.705609e-06
"C float32, reorth",17950,1.018349e-05
"C float32, reorth",18000,1.273416e-05
"C float32, reorth",18050,2.795854e-06
"C float32, reorth",18100,7.627342e-06
"C float32, reorth",18150,1.041580e-05
"C float32, reorth",18200,1.255406e-05
"C float32, reorth",18250,3.546134e-06
"C float32, reorth",18300,7.173804e-06
"C float32, reorth",18350,9.527938e-06
"C float32, reorth",18400,4.301241e-06
"C float32, reorth",18450,7.681091e-06
"C float32, reorth",18500,9.677618e-06
"C float32, reorth",18550,1.111196e-05
"C float32, reorth",18600,1.170885e-06
"C float32, reorth",18650,4.785361e-06
"C float32, reorth",18700,7.924938e-06
"C float32, reorth",18750,9.693870e-06
"C float32, reorth",18800,1.175729e-05
"C float32, reorth",18850,3.903898e-06
"C float32, reorth",18900,9.032712e-06
"C float32, reorth",18950,1.066364e-05
"C float32, reorth",19000,1.216904e-05
"C float32, reorth",19050,3.186406e-06
"C float32, reorth",19100,5.957826e-06
"C float32, reorth",19150,1.092196e-05
"C float32, reorth",19200,1.160100e-05
"C float32, reorth",19250,1.353911e-05
"C float32, reorth",19300,5.944751e-06
"C float32, reorth",19350,6.866423e-06
"C float32, reorth",19400,9.587900e-06
"C float32, reorth",19450,1.081604e-05
"C float32, reorth",19500,6.957212e-06
"C float32, reorth",19550,7.672782e-06
"C float32, reorth",19600,1.030356e-05
"C float32, reorth",19650,1.275845e-05
"C float32, reorth",19700,5.638255e-06
"C float32, reorth",19750,8.256948e-06
"C float32, reorth",19800,1.123289e-05
"C float32, reorth",19850,2.491365e-06
"C float32, reorth",19900,6.519270e-06
"C float32, reorth",19950,9.864368e-06
"C float32, reorth",20000,1.398090e-05
"C float32, reorth",20050,4.903365e-06
"C float32, reorth",20100,4.795757e-06
"C float32, reorth",20150,9.132536e-06
"C float32, reorth",20200,3.709455e-06
"C float32, reorth",20250,5.458319e-06
"C float32, reorth",20300,7.966471e-06
"C float32, reorth",20350,9.662694e-06
"C float32, reorth",20400,3.225216e-06
"C float32, reorth",20450,4.254536e-06
"C float32, reorth",20500,7.657809e-06
"C float32, reorth",20550,9.486944e-06
"C float32, reorth",20600,1.172595e-05
"C float32, reorth",20650,4.217859e-06
"C float32, reorth",20700,7.613336e-06
"C float32, reorth",20750,9.632584e-06
"C float32, reorth",20800,5.897814e-06
"C float32, reorth",20850,7.499680e-06
"C float32, reorth",20900,1.059552e-05
"C float32, reorth",20950,1.197285e-05
"C float32, reorth",21000,7.081526e-06
"C float32, reorth",21050,9.468984e-06
"C float32, reorth",21100,1.121507e-05
"C float32, reorth",21150,1.243269e-05
"C float32, reorth",21200,4.651247e-06
"C float32, reorth",21250,8.020517e-06
"C float32, reorth",21300,1.187234e-05
"C float32, reorth",21350,2.603173e-06
"C float32, reorth",21400,7.155639e-06
"C float32, reorth",21450,1.154669e-05
"C float32, reorth",21500,5.512475e-06
"C float32, reorth",21550,7.867437e-06
"C float32, reorth",21600,8.855357e-06
"C float32, reorth",21650,1.092410e-05
"C float32, reorth",21700,3.939606e-06
"C float32, reorth",21750,4.873855e-06
"C float32, reorth",21800,8.386104e-06
"C float32, reorth",21850,9.371845e-06
"C float32, reorth",21900,3.523428e-06
"C float32, reorth",21950,5.288160e-06
"C float32, reorth",22000,7.229188e-06
"C float32, reorth",22050,8.121779e-06
"C float32, reorth",22100,1.090251e-05
"C float32, reorth",22150,1.264863e-05
"C float32, reorth",22200,5.631199e-06
"C float32, reorth",22250,7.579119e-06
"C float32, reorth",22300,1.099566e-05
"C float32, reorth",22350,1.093160e-05
"C float32, reorth",22400,3.116862e-06
"C float32, reorth",22450,5.887298e-06
"C float32, no reorth",0,4.213440e-07
"C float32, no reorth",50,4.213440e-07
"C float32, no reorth",100,4.213440e-07
"C float32, no reorth",150,4.213440e-07
"C float32, no reorth",200,4.213440e-07
"C float32, no reorth",250,4.213440e-07
"C float32, no reorth",300,4.213440e-07
"C float32, no reorth",350,2.243927e-06
"C float32, no reorth",400,3.260813e-06
"C float32, no reorth",450,1.883316e-06
"C float32, no reorth",500,6.423154e-06
"C float32, no reorth",550,4.866738e-06
"C float32, no reorth",600,3.673727e-06
"C float32, no reorth",650,4.251840e-06
"C float32, no reorth",700,4.881698e-06
"C float32, no reorth",750,4.562874e-06
"C float32, no reorth",800,4.193435e-06
"C float32, no reorth",850,4.749867e-06
"C float32, no reorth",900,3.790752e-06
"C float32, no reorth",950,6.336447e-06
"C float32, no reorth",1000,7.286628e-06
"C float32, no reorth",1050,7.417584e-06
"C float32, no reorth",1100,6.583043e-06
"C float32, no reorth",1150,7.246503e-06
"C float32, no reorth",1200,4.292079e-06
"C float32, no reorth",1250,7.049766e-06
"C float32, no reorth",1300,7.150835e-06
"C float32, no reorth",1350,8.057731e-06
"C float32, no reorth",1400,7.923697e-06
"C float32, no reorth",1450,7.947634e-06
"C float32, no reorth",1500,7.634299e-06
"C float32, no reorth",1550,7.700291e-06
"C float32, no reorth",1600,7.690355e-06
"C float32, no reorth",1650,8.681357e-06
"C float32, no reorth",1700,8.528166e-06
"C float32, no reorth",1750,9.213227e-06
"C float32, no reorth",1800,9.047613e-06
"C float32, no reorth",1850,1.086947e-05
"C float32, no reorth",1900,1.091039e-05
"C float32, no reorth",1950,1.080243e-05
"C float32, no reorth",2000,1.191168e-05
"C float32, no reorth",2050,1.298942e-05
"C float32, no reorth",2100,1.485059e-05
"C float32, no reorth",2150,1.430724e-05
"C float32, no reorth",2200,1.368050e-05
"C float32, no reorth",2250,1.386781e-05
"C float32, no reorth",2300,1.506558e-05
"C float32, no reorth",2350,1.523163e-05
"C float32, no reorth",2400,1.533460e-05
"C float32, no reorth",2450,1.678126e-05
"C float32, no reorth",2500,1.793355e-05
"C float32, no reorth",2550,1.902901e-05
"C float32, no reorth",2600,1.966352e-05
"C float32, no reorth",2650,2.033265e-05
"C float32, no reorth",2700,1.951684e-05
"C float32, no reorth",2750,1.957166e-05
"C float32, no reorth",2800,1.945081e-05
"C float32, no reorth",2850,1.959147e-05
"C float32, no reorth",2900,1.800024e-05
"C float32, no reorth",2950,1.825770e-05
"C float32, no reorth",3000,2.104615e-05
"C float32, no reorth",3050,2.142625e-05
"C float32, no reorth",3100,2.111475e-05
"C float32, no reorth",3150,2.145035e-05
"C float32, no reorth",3200,2.150851e-05
"C float32, no reorth",3250,2.197795e-05
"C float32, no reorth",3300,2.194693e-05
"C float32, no reorth",3350,2.159666e-05
"C float32, no reorth",3400,2.164584e-05
"C float32, no reorth",3450,2.124322e-05
"C float32, no reorth",3500,2.110972e-05
